1015,"Shooting Men's Military Rifle, Prone, 300 metres, Team"
1015,"Shooting Men's Military Rifle, Prone, 600 metres, Team"
1015,"Shooting Men's Military Rifle, Standing, 300 metres, Team"
1015,"Shooting Men's Free Rifle, Prone, 600 metres"
1015,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team"
1029,Rowing Men's Single Sculls
1041,"Cycling Men's Tandem Sprint, 2,000 metres"
1055,Freestyle Skiing Women's Halfpipe
1057,Athletics Women's Heptathlon
1058,Cycling Men's Points Race
1059,Synchronized Swimming Women's Solo
1060,"Equestrianism Mixed Dressage, Individual"
1060,"Equestrianism Mixed Dressage, Team"
1077,Cross Country Skiing Men's 18 kilometres
1108,Swimming Men's 100 metres Breaststroke
1111,Figure Skating Mixed Ice Dancing
1136,"Shooting Mixed Free Pistol, 50 metres"
1145,Sailing Women's Skiff
1183,"Canoeing Men's Kayak Doubles, 10,000 metres"
1190,Triathlon Men's Olympic Distance
1196,Sailing Women's One Person Dinghy
1200,Cross Country Skiing Women's 30 kilometres
1200,Cross Country Skiing Women's 15 km Skiathlon
1208,Rowing Men's 17-Man Naval Rowing Boats
1213,Beach Volleyball Women's Beach Volleyball
1215,Weightlifting Men's Super-Heavyweight
1228,Rowing Men's Lightweight Coxless Fours
1241,"Wrestling Men's Light-Flyweight, Greco-Roman"
1251,"Canoeing Men's Canadian Singles, 1,000 metres"
1253,Sailing Mixed 5.5 metres
1276,"Equestrianism Mixed Jumping, Team"
1283,Diving Men's Synchronized Platform
1291,Snowboarding Men's Halfpipe
1300,"Canoeing Women's Kayak Singles, Slalom"
1301,Weightlifting Women's Flyweight
1304,Swimming Women's 100 metres Breaststroke
1304,Swimming Women's 200 metres Breaststroke
1348,"Wrestling Men's Middleweight B, Greco-Roman"
1355,Athletics Men's Stone Throw
1355,"Athletics Men's Javelin Throw, Freestyle"
1355,Athletics Men's Pentathlon (Ancient)
1377,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
1380,Swimming Women's 100 metres Butterfly
1411,Weightlifting Men's Heavyweight I
1419,"Athletics Women's 3,000 metres Steeplechase"
1428,"Athletics Men's Shot Put, Both Hands"
1435,"Ski Jumping Men's Large Hill, Individual"
1435,"Ski Jumping Men's Large Hill, Team"
1445,Shooting Women's Trap
1451,Badminton Men's Doubles
1464,Swimming Women's 4 x 200 metres Freestyle Relay
1475,Athletics Men's 10 kilometres Walk
1477,Athletics Women's 20 kilometres Walk
1482,Athletics Women's 80 metres Hurdles
1498,Sailing Men's One Person Heavyweight Dinghy
1501,Freestyle Skiing Women's Aerials
1510,"Art Competitions Mixed Painting, Paintings"
1531,"Tennis Mixed Doubles, Covered Courts"
1534,Cycling Men's Madison
1536,"Art Competitions Mixed Sculpturing, Statues"
1538,Rugby Men's Rugby
1549,Weightlifting Men's Heavyweight II
1571,"Canoeing Women's Kayak Doubles, 500 metres"
1581,"Short Track Speed Skating Men's 5,000 metres Relay"
1602,Cycling Men's Individual Time Trial
1610,Judo Women's Heavyweight
1614,"Canoeing Men's Kayak Doubles, 1,000 metres"
1630,"Gymnastics Men's Individual All-Around, 5 Events"
1634,"Wrestling Men's Super-Heavyweight, Freestyle"
1639,Biathlon Women's 10 kilometres Pursuit
1639,Biathlon Women's 12.5 kilometres Mass Start
1639,Biathlon Women's 4 x 6 kilometres Relay
1730,"Fencing Women's Sabre, Team"
1773,Shooting Men's Double Trap
1865,Weightlifting Men's Bantamweight
1867,Taekwondo Men's Heavyweight
1981,Sailing Mixed Windsurfer
2027,Taekwondo Women's Welterweight
2202,"Shooting Mixed Free Rifle, Three Positions, 300 metres"
2213,Skeleton Men's Skeleton
2243,Cycling Men's 50 kilometres
2279,"Shooting Mixed Rapid-Fire Pistol, 25 metres"
2292,Cycling Men's 333 metres Time Trial
2292,Cycling Men's 20 kilometres
2312,"Canoeing Men's Kayak Singles, 10,000 metres"
2317,Sailing Mixed Open
2317,Sailing Mixed 1-2 Ton
2327,"Canoeing Men's Canadian Singles, Slalom"
2328,Luge Men's Singles
2370,Luge Mixed (Men)'s Doubles
2376,Sailing Mixed Multihull
2377,Badminton Women's Doubles
2378,"Speed Skating Women's 3,000 metres"
2379,Cross Country Skiing Women's 5/10 kilometres Pursuit
2379,Cross Country Skiing Women's 4 x 5 kilometres Relay
2379,Cross Country Skiing Women's 15 kilometres
2379,Cross Country Skiing Women's 5/5 kilometres Pursuit
2397,Diving Women's Synchronized Platform
2405,Athletics Women's Triple Jump
2409,Skeleton Women's Skeleton
2431,Bobsleigh Men's Four/Five
2449,"Art Competitions Mixed Painting, Drawings And Water Colors"
2462,"Shooting Men's Dueling Pistol, 30 metres"
2500,Boxing Women's Lightweight
2502,Cycling Women's BMX
2512,"Canoeing Men's Kayak Doubles, 200 metres"
2550,"Fencing Men's Sabre, Masters, Individual"
2570,Lacrosse Men's Lacrosse
2603,"Canoeing Women's Kayak Singles, 500 metres"
2624,Athletics Women's 10 kilometres Walk
2643,Sailing Mixed 12 metres
2672,Judo Women's Extra-Lightweight
2721,Diving Men's Synchronized Springboard
2724,"Rowing Men's Coxed Fours, Outriggers"
2756,Gymnastics Men's Rope Climbing
2776,Sailing Mixed Two Person Dinghy
2777,"Art Competitions Mixed Architecture, Unknown Event"
2785,"Archery Men's Target Archery, 28 metres, Team"
2785,"Archery Men's Target Archery, 33 metres, Team"
2785,"Archery Men's Target Archery, 50 metres, Team"
2786,"Short Track Speed Skating Women's 3,000 metres Relay"
2793,Freestyle Skiing Women's Moguls
2812,Short Track Speed Skating Men's 500 metres
2841,"Shooting Men's Running Target, 10 metres"
2871,Polo Men's Polo
2882,"Rowing Men's Coxed Fours, Inriggers"
2897,Cycling Men's BMX
2903,Art Competitions Mixed Sculpturing
2942,"Athletics Men's Cross-Country, Individual"
2942,"Athletics Men's Cross-Country, Team"
3009,Sailing Mixed 40 metres
3069,Cross Country Skiing Men's 10/10 kilometres Pursuit
3096,"Ski Jumping Women's Normal Hill, Individual"
3150,"Short Track Speed Skating Men's 1,000 metres"
3150,"Short Track Speed Skating Men's 1,500 metres"
3155,Gymnastics Men's Club Swinging
3175,Tennis Women's Singles
3175,Tennis Mixed Doubles
3175,Tennis Women's Doubles
3206,Judo Women's Middleweight
3222,Judo Women's Lightweight
3251,Cross Country Skiing Men's Team Sprint
3258,Snowboarding Women's Halfpipe
3271,"Canoeing Women's Kayak Singles, 200 metres"
3339,Canoeing Men's Kayak Relay 4 x 500 metres
